ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,macd,volume_change_rate
603336.SH,20250205,4.41,4.51,4.4,4.46,4.41,0.05,1.1338,149485.24,66532.342,,,,,,,,,,,,,,,,,,,,,,,,,,
603336.SH,20250206,4.44,4.51,4.38,4.5,4.46,0.04,0.8969,173682.07,77331.556,,,,,,,,,,0.1299999999999999,,0.040000000000000036,0.0,,,,,,,,,,,,,0.16186768673616217
603336.SH,20250207,4.47,4.57,4.45,4.5,4.5,0.0,0.0,188816.14,85058.062,,,,,,,,,,0.1200000000000001,,0.0,-0.0,,,,,,,,,,,,,0.08713662843838749
603336.SH,20250210,4.51,4.64,4.51,4.64,4.5,0.14,3.1111,181790.08,83299.775,,,,,,,,,,0.13999999999999968,,0.13999999999999968,0.0,,,,,,,,,,,,,-0.03721111976974016
603336.SH,20250211,4.61,4.65,4.52,4.54,4.64,-0.1,-2.1552,141481.01,64378.198,,,,4.5280000000000005,,,4.5280000000000005,,,0.13000000000000078,,0.0,0.09999999999999964,,,,,,,,,,,,,-0.22173415623118697
603336.SH,20250212,4.54,4.55,4.45,4.51,4.54,-0.03,-0.6608,127649.48,57386.692,0.04999999999999982,,,4.537999999999999,,,4.522,,,0.09999999999999964,,0.0,0.03000000000000025,,,,,,,,,,,,,-0.09776244882617117
603336.SH,20250213,4.51,4.6,4.45,4.47,4.51,-0.04,-0.8869,156912.75,71130.004,-0.03000000000000025,,,4.531999999999999,,,4.504666666666667,,,0.14999999999999947,,0.0,0.040000000000000036,,,,,,,,,,,,,0.229247075663763
603336.SH,20250214,4.47,4.49,4.38,4.4,4.47,-0.07,-1.566,141706.6,62803.329,-0.09999999999999964,,,4.5120000000000005,,,4.469777777777779,,,0.11000000000000032,,0.0,0.0699999999999994,,,,,,,,,,,,,-0.09690831369662437
603336.SH,20250217,4.4,4.56,4.4,4.56,4.4,0.16,3.6364,193188.73,87100.224,-0.08000000000000007,,,4.496,,,4.499851851851853,,,0.15999999999999925,,0.15999999999999925,0.0,,,,,,,,,,,,,0.3633008624862921
603336.SH,20250218,4.56,4.56,4.28,4.32,4.56,-0.24,-5.2632,231395.35,101774.054,-0.21999999999999975,,,4.452,4.49,,4.439901234567902,4.49,,0.27999999999999936,,0.0,0.23999999999999932,,,,,,,,,,,,,0.19776836878631582
603336.SH,20250219,4.29,4.34,4.25,4.34,4.32,0.02,0.463,124273.81,53501.842,-0.16999999999999993,-0.1200000000000001,,4.418,4.478,,4.4066008230452685,4.462727272727273,,0.08999999999999986,,0.019999999999999574,0.0,,,,,,,,,,,,,-0.46293730621639545
603336.SH,20250220,4.34,4.47,4.3,4.41,4.34,0.07,1.6129,132033.48,58019.707,-0.05999999999999961,-0.08999999999999986,,4.406000000000001,4.468999999999999,,4.407733882030179,4.4531404958677685,,0.16999999999999993,,0.07000000000000028,0.0,,,,,4.470833333333334,,4.470833333333334,,,,,,0.062440107050713366
603336.SH,20250221,4.42,4.42,4.32,4.38,4.41,-0.03,-0.6803,107734.39,47024.712,-0.020000000000000462,-0.1200000000000001,,4.401999999999999,4.457,,4.398489254686787,4.4398422238918105,,0.09999999999999964,,0.0,0.03000000000000025,,,,,4.464166666666666,,4.456858974358975,,,,,,-0.18403733659068905
603336.SH,20250224,4.52,4.59,4.43,4.44,4.38,0.06,1.3699,221594.03,99840.097,-0.11999999999999922,-0.1999999999999993,,4.378,4.436999999999999,,4.412326169791191,4.439870910456936,,0.20999999999999996,,0.0600000000000005,0.0,,,,,4.4591666666666665,,4.4542652859960565,,,,,,1.0568551044842784
603336.SH,20250225,4.36,4.41,4.34,4.37,4.44,-0.07,-1.5766,148234.26,64734.253,0.04999999999999982,-0.16999999999999993,,4.388,4.42,,4.398217446527461,4.4271671085556745,,0.10000000000000053,0.14214285714285704,0.0,0.07000000000000028,0.034999999999999955,0.04142857142857137,0.8448275862068967,45.794392523364486,4.448333333333333,,4.441301395842817,,,,,,-0.3310548122618646
603336.SH,20250226,4.41,4.5,4.37,4.42,4.37,0.05,1.1442,136366.6,60316.703,0.08000000000000007,-0.08999999999999986,,4.404000000000001,4.411,,4.405478297684974,4.425863997909188,,0.1299999999999999,0.14214285714285704,0.04999999999999982,0.0,0.03607142857142852,0.03846938775510199,0.9376657824933686,48.39151266255989,4.43,,4.438024258020845,,,,,,-0.080060169626104
603336.SH,20250227,4.47,4.86,4.47,4.86,4.42,0.44,9.9548,427978.44,202937.82,0.4500000000000002,0.39000000000000057,,4.494,4.45,,4.556985531789984,4.504797816471154,,0.4400000000000004,0.1649999999999999,0.4400000000000004,0.0,0.06492346938775508,0.035721574344023274,1.8174862273005528,64.50736864974475,4.456666666666666,,4.502943602940715,,,,,,2.1384403512296997
603336.SH,20250228,4.86,5.1,4.71,4.91,4.86,0.05,1.0288,719207.61,355501.665,0.5300000000000002,0.5099999999999998,,4.6,4.5009999999999994,,4.6746570211933225,4.578470940749126,,0.3899999999999997,0.18285714285714277,0.04999999999999982,0.0,0.0638575072886297,0.03317003331945018,1.9251565614552775,65.81379563825823,4.489999999999999,,4.565567664026759,,,,,,0.6804762641781674
603336.SH,20250303,4.86,5.3,4.63,5.02,4.91,0.11,2.2403,651833.85,319663.007,0.5799999999999992,0.45999999999999996,,4.715999999999999,4.547,,4.7897713474622154,4.658748951522012,,0.6699999999999999,0.22142857142857128,0.10999999999999943,0.0,0.06715339962515611,0.030800745225203742,2.18025243006801,68.5559551642693,4.535833333333333,,4.635480331099565,,,,,,-0.09367776294803111
603336.SH,20250304,4.92,5.08,4.73,4.84,5.02,-0.18,-3.5857,456056.6,220241.162,0.46999999999999975,0.5199999999999996,,4.8100000000000005,4.598999999999999,4.5445,4.8065142316414775,4.691703687608919,4.5445,0.34999999999999964,0.23928571428571413,0.0,0.17999999999999972,0.06235672822335925,0.041457834851974885,1.5040999715977406,60.06549213919962,4.572499999999999,,4.666944895545786,,,,,,-0.3003483939964149
603336.SH,20250305,4.85,4.97,4.65,4.73,4.84,-0.11,-2.2727,316995.73,150397.918,0.3100000000000005,0.39000000000000057,0.27000000000000046,4.872,4.638000000000001,4.558,4.781009487760985,4.698666653498206,4.562166666666667,0.3199999999999994,0.2514285714285713,0.0,0.10999999999999943,0.05790267620740502,0.04635370379111949,1.2491488591360005,55.53873653413296,4.586666666666667,,4.676645680846434,,,,,,-0.3049202006943875
603336.SH,20250306,4.67,4.74,4.6,4.72,4.73,-0.01,-0.2114,320762.83,150130.495,-0.14000000000000057,0.3099999999999996,0.21999999999999975,4.843999999999999,4.669,4.569,4.760672991840657,4.7025454437712595,4.577198412698413,0.14000000000000057,0.25357142857142845,0.0,0.010000000000000675,0.053766770764018944,0.04375701066318243,1.2287578595778899,55.1319585614656,4.62,,4.683315576100829,,,,,,0.011883756289083247
