open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,volume_change_rate
8.78,8.95,8.75,8.8,8.74,0.06,0.6865,145341.06,128415.188,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,8.77,8.56,8.74,8.61,0.13,1.5099,114658.39,99894.931,,,,,,,,,,0.2400000000000002,,0.0,0.0600000000000005,,,,,,,,,,,,-0.21110806540147703
8.64,8.79,8.58,8.61,8.65,-0.04,-0.4624,112115.72,97412.25,,,,,,,,,,0.20999999999999908,,0.0,0.13000000000000078,,,,,,,,,,,,-0.02217604834674548
8.53,8.7,8.5,8.65,8.55,0.1,1.1696,126276.39,108899.904,,,,,,,,,,0.1999999999999993,,0.040000000000000924,0.0,,,,,,,,,,,,0.12630405441806017
8.43,8.57,8.41,8.55,8.42,0.13,1.5439,105602.15,89964.313,,,,8.669999999999998,,,8.669999999999998,,,0.2400000000000002,,0.0,0.09999999999999964,,,,,,,,,,,,-0.1637221336466778
8.26,8.45,8.22,8.42,8.27,0.15,1.8138,106029.75,88868.584,-0.3800000000000008,,,8.594,,,8.586666666666666,,,0.33000000000000007,,0.0,0.13000000000000078,,,,,,,,,,,,0.004049159983958715
8.15,8.32,8.11,8.27,8.15,0.12,1.4724,118866.49,98081.164,-0.47000000000000064,,,8.5,,,8.481111111111112,,,0.3100000000000005,,0.0,0.15000000000000036,,,,,,,,,,,,0.12106734194883988
8.07,8.18,8.03,8.15,8.09,0.06,0.7417,72854.82,59159.43,-0.4599999999999991,,,8.408,,,8.370740740740743,,,0.2400000000000002,,0.0,0.11999999999999922,,,,,,,,,,,,-0.3870869746385209
8.05,8.13,8.0,8.09,8.04,0.05,0.6219,62552.74,50424.213,-0.5600000000000005,,,8.296000000000001,,,8.277160493827163,,,0.15000000000000036,,0.0,0.0600000000000005,,,,,,,,,,,,-0.14140560638266636
7.86,8.08,7.82,8.04,7.95,0.09,1.1321,91787.0,73386.536,-0.5100000000000016,,,8.193999999999999,8.431999999999999,,8.198106995884775,8.431999999999999,,0.2699999999999996,,0.0,0.05000000000000071,,,,,,,,,,,,0.4673537881793828
7.82,8.0,7.72,7.95,7.89,0.06,0.7605,95813.57,75201.607,-0.46999999999999975,-0.8500000000000005,,8.1,8.347000000000001,,8.115404663923183,8.344363636363635,,0.3199999999999994,,0.0,0.08999999999999897,,,,,,,,,,,,0.04386863063396785
7.96,7.99,7.85,7.89,7.99,-0.1,-1.2516,66256.3,52291.674,-0.3799999999999999,-0.8500000000000005,,8.024000000000001,8.262,,8.04026977594879,8.261752066115701,,0.14000000000000057,,0.0,0.0600000000000005,,,,,8.346666666666666,,8.346666666666666,,,,,-0.3084873050863255
8.05,8.1,7.95,7.99,7.98,0.01,0.1253,85958.64,68909.596,-0.16000000000000014,-0.6199999999999992,,7.992,8.2,,8.02351318396586,8.21234259954921,,0.20999999999999996,,0.10000000000000053,0.0,,,,,8.279166666666667,,8.291794871794872,,,,,0.29736553354171597
7.96,8.02,7.93,7.98,8.01,-0.03,-0.3745,76914.08,61391.39,-0.10999999999999943,-0.6699999999999999,,7.969999999999999,8.133,,8.009008789310574,8.170098490540262,,0.08999999999999986,,0.0,0.009999999999999787,,,,,8.215833333333334,,8.243826429980276,,,,,-0.10521990575932795
8.1,8.12,7.96,8.01,8.01,0.0,0.0,119368.28,95903.151,-0.02999999999999936,-0.5400000000000009,,7.964,8.079,,8.009339192873718,8.140989674078396,,0.15999999999999925,0.22214285714285703,0.02999999999999936,0.0,0.012142857142857202,0.0685714285714287,0.17708333333333387,15.044247787610656,8.165833333333333,,8.207853133060233,,,,,0.5519691583127562
7.74,8.08,7.64,8.01,7.83,0.18,2.2989,196084.02,155659.564,0.05999999999999961,-0.41000000000000014,,7.975999999999999,8.038,,8.009559461915813,8.117173369700506,,0.4400000000000004,0.23642857142857135,0.0,-0.0,0.011275510204081686,0.06367346938775523,0.17708333333333381,15.044247787610654,8.1125,,8.177414189512504,,,,,0.6426811209812188
