v_graph,x_graph,Ratio_LE,Ratio_LF,Ratio_LQ,Raw_LE,Raw_LF,Raw_LQ
empty,empty,1,1,1,0.002977121,0.003656098,-181.4817902
industry,empty,0.99916384,0.999128849,0.983652537,0.002974632,0.003652913,-178.5150234
empty,complete,0.998423049,0.997919389,1.000419737,0.002972427,0.003648491,-181.5579649
empty,linear,0.998057395,0.99740723,1.000818491,0.002971338,0.003646619,-181.6303315
GL,empty,0.99798504,0.998443525,0.999758606,0.002971123,0.003650407,-181.4379815
industry,complete,0.997845598,0.997374284,0.984049979,0.002970707,0.003646498,-178.5871519
industry,linear,0.997537649,0.996934759,0.984404128,0.002969791,0.003644891,-178.6514234
GL,complete,0.996938357,0.997048304,1.000212785,0.002968006,0.003645306,-181.5204068
GL,linear,0.996687807,0.99668458,1.000620816,0.002967261,0.003643977,-181.5944571
complete,empty,0.995734564,0.996207438,1.000850398,0.002964423,0.003642232,-181.6361219
complete,complete,0.995518336,0.995875062,1.001363223,0.002963779,0.003641017,-181.7291904
complete,linear,0.995417659,0.995705368,1.001782977,0.002963479,0.003640396,-181.8053681
