v_graph,x_graph,LE,LF,LQ,Ratio_LE,Ratio_LF,Ratio_LQ
empty,empty,0.001442418,0.001660082,-202.8091287,1,1,1
industry,empty,0.001440101,0.001657643,-157.7901433,0.99839394,0.998530912,0.778022884
empty,complete,0.001439184,0.001654545,-202.8989487,0.997757595,0.996664962,1.000442879
empty,linear,0.00143894,0.001654025,-202.9226667,0.997589042,0.99635155,1.000559827
industry,complete,0.001437036,0.001652374,-161.3004713,0.996268474,0.995356953,0.795331415
industry,linear,0.001436729,0.001651761,-160.5827291,0.99605592,0.994987656,0.791792412
complete,empty,0.001433704,0.001649984,-202.8798783,0.99395841,0.99391725,1.000348848
complete,complete,0.001431277,0.001645735,-202.9912963,0.992276068,0.991358064,1.000898222
complete,linear,0.001431084,0.001645342,-203.017414,0.992142022,0.991121431,1.001027001
GL,empty,0.001429652,0.001646237,-202.8423413,0.99114933,0.991660158,1.000163763
GL,complete,0.001426684,0.001641168,-202.9447235,0.989092224,0.988607032,1.000668583
GL,linear,0.001426608,0.001640943,-202.9694307,0.989038951,0.988471383,1.000790408
