open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,volume_change_rate
1.021,1.035,0.995,1.012,,-0.011,-1.08,901424,91455575.0,,,,,,,,,,0.0399999999999999,,,,,,,,,,,,,,,
1.016,1.02,0.974,0.974,1.012,-0.038,-3.75,334164,33390115.0,,,,,,,,,,0.046,,0.0,0.038,,,,,,,,,,,,-0.629293207192176
0.962,0.999,0.962,0.991,0.974,0.017,1.75,206644,20272614.0,,,,,,,,,,0.037,,0.017,0.0,,,,,,,,,,,,-0.3816090302965012
0.992,1.019,0.992,1.018,0.991,0.027,2.72,489725,49356584.0,,,,,,,,,,0.0279999999999999,,0.027,0.0,,,,,,,,,,,,1.3698970209635897
1.017,1.032,1.012,1.025,1.018,0.007,0.69,467004,47825713.0,,,,1.004,,,1.0108024691358026,,,0.02,,0.0069999999999998,0.0,,,,,,,,,,,,-0.0463954260043901
1.013,1.013,0.991,0.998,1.025,-0.027,-2.63,159672,15985398.0,-0.014,,,1.0012,,,1.0065349794238685,,,0.0339999999999999,,0.0,0.0269999999999999,,,,,,,,,,,,-0.6580928643009482
1.0,1.017,0.998,1.015,0.998,0.017,1.7,311041,31395429.0,0.0409999999999999,,,1.0094,,,1.0093566529492457,,,0.0189999999999999,,0.0169999999999999,0.0,,,,,,,,,,,,0.947999649281026
1.01,1.038,1.0,1.02,1.015,0.005,0.49,352509,35932489.0,0.029,,,1.0152,,,1.0129044352994971,,,0.038,,0.0050000000000001,0.0,,,,,,,,,,,,0.1333200446243421
1.002,1.02,1.002,1.018,1.02,-0.002,-0.2,119914,12120784.0,0.0,,,1.0152,,,1.0146029568663315,,,0.018,,0.0,0.002,,,,,,,,,,,,-0.6598271249812062
1.018,1.021,1.011,1.011,1.018,-0.007,-0.69,149105,15153930.0,-0.014,,,1.0124,1.0082,,1.013401971244221,1.011711794946684,,0.01,,0.0,0.0070000000000001,,,,,,,,,,,,0.2434327935020097
1.006,1.011,0.996,1.006,1.011,-0.005,-0.49,85484,8585147.0,0.008,-0.006,,1.014,1.0075999999999998,,1.0109346474961474,1.0106732867745596,,0.0149999999999999,,0.0,0.0049999999999998,,,,,,,,,,,,-0.4266858924918681
1.006,1.009,0.965,0.97,1.006,-0.036,-3.58,117969,11694186.0,-0.0449999999999999,-0.004,,1.005,1.0072,,0.9972897649974316,1.0032781437246396,,0.0439999999999999,,0.0,0.036,,,,,1.0048333333333332,,1.004292457529288,,,,,0.3800126339431939
0.971,1.006,0.966,0.968,0.97,-0.002,-0.21,96875,9599202.0,-0.052,-0.023,,0.9946,1.0049,,0.9875265099982878,0.9968639357747052,,0.04,,0.0,0.002,,,,,1.0011666666666663,,0.998709002524782,,,,,-0.1788096872907288
0.971,0.98,0.967,0.969,0.968,0.001,0.1,52555,5112514.0,-0.049,-0.049,,0.9848,0.9999999999999998,,0.9813510066655252,0.9917977656338496,,0.013,0.0287142857142856,0.001,0.0,,,,,1.0007499999999998,,0.9941383867517388,,,,,-0.4574967741935484
0.973,0.999,0.965,0.981,0.969,0.012,1.24,46813,4569337.0,-0.0299999999999999,-0.0439999999999999,,0.9788,0.9956,,0.9812340044436836,0.989834535518604,,0.034,0.0282857142857142,0.012,0.0,0.0033980549422765,0.018374641206776,0.1849317711315858,15.606955238864067,0.9999166666666666,,0.9921170964822404,,,,,-0.1092569688897345
0.99,0.996,0.972,0.993,0.981,0.012,1.22,109604,10805928.0,-0.013,-0.005,,0.9761999999999998,0.9951,,0.9851560029624556,0.9904100745152216,,0.024,0.0267142857142856,0.012,0.0,0.0040124795892567,0.0170621668348634,0.2351682308637366,19.039368483375476,0.9978333333333332,,0.9922529277926648,,,,,1.3413154465639887
0.993,1.009,0.983,0.998,0.993,0.005,0.5,127325,12712936.0,0.028,-0.0169999999999999,,0.9818,0.9934,,0.9894373353083038,0.9917900609669994,,0.0259999999999999,0.0259285714285714,0.005,0.0,0.0040830167614527,0.0158434406323732,0.2577102320255992,20.490429787674163,0.9955833333333334,,0.9931370927476396,,,,,0.161682055399438
0.994,1.004,0.985,0.991,0.998,-0.007,-0.7,69069,6857857.0,0.023,-0.029,,0.9864,0.9905000000000002,,0.9899582235388692,0.991646413518454,,0.019,0.0252857142857142,0.0,0.007,0.0037913727070632,0.0152117663014894,0.2492394789612306,19.951297021807108,0.995,,0.9928083092480028,,,,,-0.4575377969762418
0.988,1.0,0.988,0.989,0.991,-0.002,-0.2,75733,7522269.0,0.02,-0.029,,0.9904,0.9876,,0.9896388156925796,0.9911652474241897,,0.012,0.0247142857142856,0.0,0.002,0.0035205603708444,0.0142680687085258,0.2467440017821554,19.79107189843687,0.9928333333333332,,0.9922224155175408,,,,,0.0964832269180095
0.98,0.992,0.968,0.974,0.989,-0.015,-1.52,41320,4025420.0,-0.007,-0.0369999999999999,,0.989,0.9839,0.99605,0.9844258771283864,0.9880442933470642,0.9939801093435604,0.024,0.0239999999999999,0.0,0.015,0.0032690917729269,0.0143203495150597,0.2282829598180605,18.58553503436008,0.989,,0.9894189669763808,,,,,-0.454399007037883
0.97,0.976,0.948,0.959,0.974,-0.015,-1.54,35276,3385283.0,-0.034,-0.047,-0.053,0.9822,0.9792,0.9934,0.9759505847522576,0.982763512738507,0.9906486703584596,0.028,0.0246428571428571,0.0,0.015,0.0030355852177179,0.0143688959782697,0.2112608527689702,17.441400197655447,0.9840833333333332,,0.9847391259030912,,,,,-0.1462729912875121
0.958,0.994,0.943,0.99,0.959,0.031,3.23,99389,9735695.0,-0.008,0.02,0.016,0.9806,0.9812,0.9942,0.980633723168172,0.9840792376951422,0.9905868922290824,0.051,0.0255714285714285,0.031,0.0,0.0050330434164523,0.0133425462655362,0.3772176102137776,27.389833488639773,0.9823333333333332,,0.9855484911487696,,,,,1.8174679668896696
0.989,1.009,0.983,0.991,0.99,0.001,0.1,169116,16822589.0,0.0,0.023,0.0,0.9806,0.9835,0.9942,0.9840891487787812,0.9853375581142072,0.9906262358263128,0.0259999999999999,0.0261428571428571,0.001,0.0,0.0047449688867057,0.0123895072465693,0.3829828573706692,27.69252383205944,0.9810833333333332,,0.9863871848181897,,,,,0.7015565102777974
0.99,0.999,0.975,0.987,0.991,-0.004,-0.4,88180,8715261.0,-0.002,0.018,-0.031,0.9802,0.9853,0.99265,0.9850594325191876,0.9856398202752604,0.9902808800333304,0.024,0.0271428571428571,0.0,0.004,0.0044060425376553,0.0117902567289572,0.3737020014868673,27.20400793493639,0.9825,,0.9864814640769296,,,,,-0.4785827479363277
0.992,1.023,0.992,1.019,0.987,0.032,3.24,397550,40350158.0,0.0449999999999999,0.0379999999999999,-0.006,0.9892,0.9891,0.99235,0.9963729550127918,0.9917053074979402,0.9930160343158704,0.0359999999999999,0.0286428571428571,0.0319999999999999,0.0,0.0063770394992513,0.0109480955340317,0.5824793435012134,36.80802191152056,0.98675,,0.991484315757402,,,,,3.508391925606713
1.022,1.058,1.022,1.05,1.019,0.031,3.04,227423,23791489.0,0.091,0.057,0.052,1.0074,0.9948,0.99495,1.0142486366751946,1.002304342498315,0.99844307866674,0.0390000000000001,0.0282857142857142,0.0310000000000001,0.0,0.008135822392162,0.0101660887101723,0.8002903205065665,44.45340350890629,0.9935,0.9968076923076924,1.0004867287178016,0.9988162074243964,0.0016705212934051,,,-0.4279386240724437
1.052,1.063,1.04,1.06,1.05,0.01,0.95,187020,19706760.0,0.07,0.062,0.0450000000000001,1.0214,1.001,0.9972,1.0294990911167965,1.0127944620440756,1.0043056426032408,0.0229999999999999,0.0270714285714285,0.01,0.0,0.008268977935579,0.0094399395165885,0.8759566648756714,46.69386459061544,1.0000833333333334,0.998653846153846,1.0096426166073706,1.0033483402077743,0.0062942763995961,,,-0.1776557340286602
1.059,1.07,1.04,1.054,1.06,-0.006,-0.57,131841,13922033.0,0.063,0.063,0.034,1.034,1.0073,0.9989,1.0376660607445312,1.0202863780360618,1.0090384385457891,0.03,0.0282857142857142,0.0,0.006,0.0076783366544662,0.0091942295511179,0.8351256200181083,45.50781760705121,1.0051666666666668,1.001730769230769,1.0164668294370058,1.0071003150071989,0.0093665144298071,,,-0.2950433108758421
1.051,1.059,0.99,0.991,1.054,-0.063,-5.98,151520,15633215.0,0.004,0.002,-0.027,1.0348000000000002,1.0075,0.9975499999999998,1.0221107071630209,1.014961582029505,1.0073204920176189,0.0689999999999999,0.0307857142857142,0.0,0.063,0.00712988403629,0.0130374988688952,0.5468751413126072,35.35354125922239,1.0045833333333334,1.001730769230769,1.0125488556774664,1.0059076990807394,0.006641156596727,,,0.1492631275551612
0.99,1.009,0.953,0.983,0.991,-0.008,-0.81,60983,6010553.0,-0.0359999999999999,0.009,-0.0279999999999999,1.0276,1.0084,0.99615,1.0090738047753474,1.0091503852968675,1.0050042546826077,0.0559999999999999,0.0330714285714285,0.0,0.008,0.0066206066051264,0.012677677521117,0.5222255096880818,34.30671121751801,1.0039166666666666,1.0003846153846152,1.0080028778809331,1.004210832482166,0.0037920453987669,,,-0.5975250791974657
0.993,1.04,0.966,1.023,0.983,0.04,4.07,100893,10158516.0,-0.0270000000000001,0.0639999999999999,0.0169999999999999,1.0222000000000002,1.0148,0.997,1.0137158698502318,1.0116684970610736,1.006718135189026,0.074,0.0365,0.0399999999999999,0.0,0.0090048489904745,0.0117721291267515,0.7649295121994156,43.34051342629415,1.00675,1.0003076923076923,1.0103101274377126,1.0056026226686725,0.0047075047690403,,,0.6544446813046259
1.024,1.035,1.011,1.023,1.023,0.0,0.0,95363,9743012.0,-0.0370000000000001,0.0329999999999999,0.0529999999999999,1.0148,1.0181,0.99965,1.0168105799001546,1.0137287703226965,1.0082687889805473,0.024,0.0368571428571428,0.0,-0.0,0.0083616454911549,0.0109312627605549,0.7649295121994155,43.340513426294144,1.0108333333333337,1.0012692307692306,1.0122624155242184,1.0068913172858076,0.0053710982384107,,,-0.0548105418611796
1.03,1.038,1.018,1.026,1.023,0.003,0.29,108218,11109870.0,-0.028,0.035,0.058,1.0092,1.0216,1.0025499999999998,1.0198737199334365,1.0159599029912971,1.0099574757443046,0.02,0.0374285714285714,0.0030000000000001,0.0,0.0079786708132153,0.0101504582776582,0.7860404520628282,44.01022670874967,1.0164166666666667,1.0016923076923077,1.014375890058954,1.0083067752646366,0.0060691147943172,,,0.1348007088703164
1.024,1.063,1.011,1.048,1.026,0.022,2.14,132976,13903947.0,0.057,0.061,0.079,1.0206,1.0277,1.0065,1.029249146622291,1.0217853751746977,1.013580573292466,0.052,0.0394285714285714,0.022,0.0,0.0089801943265571,0.0094254255435397,0.9527627463687482,48.790501976773896,1.02125,1.0027692307692306,1.019548830049884,1.011247014133923,0.0083018159159611,0.0058015608706702,0.0055821929751967,0.2287789462011864
1.051,1.098,1.04,1.061,1.048,0.013,1.24,116086,12328383.0,0.0779999999999999,0.042,0.0799999999999999,1.0362,1.0319,1.0105,1.0398327644148608,1.028915306961116,1.018096709169374,0.058,0.0415714285714285,0.0129999999999999,0.0,0.0092673233032315,0.0087521808618583,1.0588587518361507,51.42940237604107,1.0270833333333331,1.0044230769230769,1.0259259331191326,1.014932420494373,0.0109935126247595,0.0068374487963762,0.0066644569051093,-0.1270154012754181
1.061,1.11,1.061,1.109,1.061,0.048,4.52,198927,21618976.0,0.086,0.0589999999999999,0.1159999999999999,1.0534,1.0378,1.0162999999999998,1.0628885096099072,1.043476160240913,1.0267541654389576,0.0490000000000001,0.0414285714285714,0.048,0.0,0.0120339430672864,0.0081270250860113,1.4807316256473653,59.6893114248486,1.03725,1.0081923076923076,1.038706558793112,1.0219003893466416,0.0168061694464705,0.0080054369126956,0.0086927994133815,0.7136174904811949
1.109,1.119,1.075,1.086,1.109,-0.023,-2.07,138015,15150655.0,0.0630000000000001,0.026,0.088,1.066,1.0404,1.0207000000000002,1.0705923397399382,1.051207767469838,1.0323966258733426,0.044,0.0427142857142857,0.0,0.0229999999999999,0.0111743757053374,0.0091893804370105,1.2160096953144195,54.87384364272312,1.0428333333333335,1.0112692307692308,1.045982472824941,1.0266485086542978,0.0193339641706431,0.009112931328344,0.0108210323648338,-0.3062027779034521
1.076,1.099,1.057,1.081,1.086,-0.005,-0.46,88807,9652827.0,0.0549999999999999,0.0269999999999999,0.0899999999999999,1.077,1.0431,1.0252,1.0740615598266254,1.0566245370207763,1.03702551864731,0.042,0.044,0.0,0.0050000000000001,0.010376206012099,0.008890138977224,1.1671590330232409,53.85663974069429,1.0454166666666669,1.0155384615384615,1.051369784698027,1.0306745450502757,0.0206952396477513,0.0106744961117912,0.0127958738214173,-0.3565409556932217
1.081,1.09,1.072,1.085,1.081,0.004,0.37,40337,4352296.0,0.0369999999999999,0.0939999999999999,0.0959999999999999,1.0844,1.0524999999999998,1.03,1.0777077065510836,1.061783712107908,1.0415945168713758,0.018,0.0427142857142857,0.004,0.0,0.0099207627255205,0.0082551290502794,1.2017695501907,54.58198611596805,1.0475,1.0200384615384617,1.0565436639752537,1.0346986528243294,0.0218450111509243,0.0126803811953642,0.0146057012873187,-0.5457903093224633
1.09,1.094,1.084,1.09,1.085,0.005,0.46,50652,5518261.0,0.0290000000000001,0.1070000000000001,0.1160000000000001,1.0902,1.0632,1.0358,1.0818051377007225,1.0669139462701065,1.0462045628836258,0.01,0.0406428571428571,0.0050000000000001,0.0,0.0095692796736976,0.0076654769752595,1.2483606309930493,55.523149346449685,1.0504999999999998,1.0246923076923076,1.0616907925944454,1.0387950489114162,0.0228957436830292,0.0147012966302519,0.0162637097664608,0.2557205543297716
1.06,1.1,1.06,1.065,1.09,-0.025,-2.29,41688,4495115.0,-0.044,0.042,0.1059999999999999,1.0814,1.0674,1.0411,1.076203425133815,1.066565956039178,1.0479946045137567,0.04,0.0418571428571428,0.0,0.0250000000000001,0.0088857596970049,0.0089036571913124,0.9979898715861488,49.94969623113616,1.0566666666666666,1.027923076923077,1.0621999014260692,1.0407361563994593,0.0214637450266099,0.0164893684956073,0.0173037168184906,-0.1769722814498934
1.065,1.082,1.038,1.05,1.065,-0.015,-1.41,39881,4209877.0,-0.036,0.0270000000000001,0.06,1.0741999999999998,1.0700999999999998,1.0440999999999998,1.06746895008921,1.0635539640320548,1.0481855945600655,0.044,0.0428571428571428,0.0,0.0149999999999999,0.0082510625757903,0.0093391102490758,0.8834955746032498,46.90722858689776,1.06225,1.0301153846153843,1.0603229935143663,1.0414223670365363,0.0189006264778299,0.0179150920159976,0.0176230987503585,-0.0433458069468432
1.067,1.067,1.039,1.06,1.05,0.01,0.95,36058,3788376.0,-0.0209999999999999,0.034,0.069,1.07,1.0735,1.04755,1.0649793000594734,1.0629077887534994,1.0493107760305356,0.028,0.0399285714285714,0.01,0.0,0.0083759866775195,0.0086720309455703,0.9658621757799404,49.13173403912418,1.0653333333333337,1.0325000000000002,1.0602733022044637,1.0427984879967929,0.0174748142076708,0.0189343140484098,0.017593441841821,-0.0958601840475414
1.06,1.06,1.016,1.016,1.06,-0.044,-4.15,31920,3307756.0,-0.0689999999999999,-0.032,0.029,1.0562,1.0703,1.049,1.0486528667063155,1.0543790998892266,1.0461383211704849,0.044,0.0390714285714286,0.0,0.044,0.0077777019148396,0.011195457306601,0.6947194475257141,40.99318318085054,1.06475,1.0334615384615384,1.0534620249422386,1.0408134148118453,0.0126486101303933,0.019118213771258,0.0166044754995354,-0.1147595540518053
1.011,1.016,0.971,0.971,1.016,-0.045,-4.43,28831,2889498.0,-0.1190000000000001,-0.0899999999999999,-0.0479999999999999,1.0324000000000002,1.0613,1.0466,1.0227685778042106,1.039219263545731,1.0389822905828194,0.045,0.037,0.0,0.045,0.0072221517780653,0.0136100674989867,0.5306477560528673,34.668182405419415,1.0601666666666667,1.0327692307692309,1.0407755595665096,1.0356420507517086,0.005133508814801,0.0178212514788503,0.0143102821625885,-0.0967731829573934
0.971,0.995,0.949,0.991,0.971,0.02,2.06,25262,2451803.0,-0.0739999999999999,-0.118,-0.059,1.0176,1.0495,1.04365,1.0121790518694738,1.0304521247192342,1.0344125486225508,0.046,0.0385714285714286,0.02,0.0,0.0081348552224892,0.0126379198204876,0.6436862504303624,39.16113858480155,1.055416666666667,1.033423076923077,1.033117781171662,1.032335232177508,0.0007825489941539,0.0157599831259071,0.0116047355289016,-0.1237903645381707
