open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,volume_change_rate
3.256,3.36,3.171,3.35,,0.147,4.59,6159,2035356.0,,,,,,,,,,0.189,,,,,,,,,,,,,,,
3.363,3.441,3.363,3.415,3.35,0.065,1.94,3730,1270955.0,,,,,,,,,,0.0909999999999997,,0.0649999999999999,0.0,,,,,,,,,,,,-0.3943822049033934
3.4,3.44,3.4,3.405,3.415,-0.01,-0.29,1695,579422.0,,,,,,,,,,0.04,,0.0,0.0100000000000002,,,,,,,,,,,,-0.5455764075067024
3.41,3.41,3.259,3.305,3.405,-0.1,-2.94,7021,2365877.0,,,,,,,,,,0.1510000000000002,,0.0,0.0999999999999996,,,,,,,,,,,,3.142182890855457
3.301,3.4,3.3,3.358,3.305,0.053,1.6,3755,1260867.0,,,,3.3666,,,3.3572345679012354,,,0.1,,0.0529999999999999,0.0,,,,,,,,,,,,-0.4651759008688221
3.3,3.355,3.3,3.3,3.358,-0.058,-1.73,2464,823164.0,-0.0500000000000002,,,3.3566000000000003,,,3.338156378600824,,,0.0580000000000002,,0.0,0.0580000000000002,,,,,,,,,,,,-0.3438082556591212
3.32,3.371,3.3,3.369,3.3,0.069,2.09,1914,635193.0,-0.0459999999999998,,,3.3473999999999995,,,3.3484375857338837,,,0.0710000000000001,,0.0690000000000004,0.0,,,,,,,,,,,,-0.2232142857142857
3.369,3.38,3.32,3.366,3.369,-0.003,-0.09,2509,838406.0,-0.0389999999999997,,,3.3396,,,3.354291723822589,,,0.06,,0.0,0.0030000000000001,,,,,,,,,,,,0.3108672936259142
3.366,3.388,3.302,3.388,3.366,0.022,0.65,4384,1466628.0,0.0829999999999997,,,3.3562,,,3.3655278158817263,,,0.0859999999999998,,0.0219999999999997,0.0,,,,,,,,,,,,0.7473096851335193
3.379,3.397,3.313,3.335,3.388,-0.053,-1.56,1529,513274.0,-0.0230000000000001,,,3.3516,3.3591,,3.355351877254485,3.3555978343507697,,0.0839999999999996,,0.0,0.0529999999999999,,,,,,,,,,,,-0.6512317518248175
3.233,3.347,3.161,3.23,3.335,-0.105,-3.15,2112,691902.0,-0.0699999999999998,-0.1200000000000001,,3.3376,3.3471,,3.3135679181696567,3.332761864468812,,0.1859999999999999,,0.0,0.1049999999999999,,,,,,,,,,,,0.381294964028777
3.32,3.32,3.296,3.315,3.23,0.085,2.63,4608,1520732.0,-0.0540000000000002,-0.1,,3.3268,3.3371000000000004,,3.3140452787797714,3.329532434565391,,0.0899999999999998,,0.0849999999999999,0.0,,,,,3.344666666666667,,3.3329159327198523,,,,,1.1818181818181817
3.331,3.406,3.331,3.389,3.315,0.074,2.23,5891,1993050.0,0.0229999999999996,-0.016,,3.3314,3.3355,,3.339030185853181,3.340344719189865,,0.0910000000000001,,0.0739999999999998,0.0,,,,,3.3479166666666664,,3.341544250762952,,,,,0.2784288194444444
3.4,3.5,3.4,3.471,3.389,0.082,2.42,3146,1085094.0,0.0830000000000001,0.1659999999999999,,3.348,3.3521,,3.383020123902121,3.364100224791708,,0.1110000000000002,0.1005714285714286,0.0820000000000003,0.0,,,,,3.352583333333333,,3.361460519876344,,,,,-0.4659650314038364
3.43,3.474,3.428,3.47,3.471,-0.001,-0.03,802,276627.0,0.1350000000000002,0.1120000000000001,,3.375,3.3633,,3.412013415934748,3.383354729375033,,0.0460000000000002,0.0903571428571429,0.0,0.0009999999999998,0.0451968139062953,0.013969506203929,3.2353909470030686,76.38942868526476,3.358,,3.37815890143383,,,,,-0.7450731087094724
3.427,3.49,3.401,3.487,3.47,0.017,0.49,321509,111806915.0,0.2570000000000001,0.1870000000000002,,3.4264,3.382,,3.437008943956499,3.4021993240341177,,0.0890000000000004,0.0902142857142858,0.0169999999999999,0.0,0.0431827557701313,0.0129716843322198,3.3290014360642,76.89998456297187,3.373166666666666,,3.394903685828625,,,,,399.8840399002494
3.411,3.507,3.41,3.467,3.487,-0.02,-0.57,1104,383333.0,0.1520000000000001,0.0979999999999998,,3.4568,3.3918,,3.4470059626376663,3.4139812651188235,,0.0969999999999999,0.0942857142857143,0.0,0.02,0.0400982732151219,0.0134737068799184,2.976038708017724,74.84933941957131,3.3822500000000004,,3.405995426470376,,,,,-0.9965661925482646
3.42,3.5,3.42,3.495,3.467,0.028,0.81,5684,1973576.0,0.1060000000000003,0.129,,3.478,3.4047000000000005,,3.463003975091778,3.4287119441881284,,0.08,0.0892142857142857,0.028,0.0,0.0392341108426132,0.0125112992456385,3.135894208292582,75.82143184429204,3.3985,,3.419688437782625,,,,,4.148550724637682
3.46,3.46,3.401,3.43,3.495,-0.065,-1.86,1535,525546.0,-0.0409999999999999,0.0420000000000002,,3.4698,3.4089,,3.4520026500611856,3.428946136153923,,0.0940000000000003,0.0887857142857143,0.0,0.0649999999999999,0.0364316743538551,0.0162604921566643,2.240502563074246,69.14058913592385,3.403583333333333,,3.4212748319699133,,,,,-0.7299437016185785
3.486,3.486,3.358,3.367,3.43,-0.063,-1.84,677,230509.0,-0.1030000000000002,0.032,,3.4492000000000003,3.4121,3.3856,3.423668433374124,3.417683202307755,3.397506175025736,0.1280000000000001,0.0937857142857143,0.0,0.0630000000000001,0.0338294119000083,0.0195990284311883,1.726075964366424,63.31723645740689,3.4036666666666666,,3.412924857820696,,,,,-0.558957654723127
3.375,3.398,3.295,3.329,3.367,-0.038,-1.13,1377,463224.0,-0.1579999999999999,0.0990000000000002,-0.0209999999999999,3.4176,3.422,3.38455,3.392112288916082,3.4015589837063445,3.390981777404237,0.1030000000000002,0.0960714285714286,0.0,0.0379999999999998,0.031413025335722,0.0209133835432463,1.5020537098056752,60.03283238561389,3.39875,,3.400013341232896,,,,,1.03397341211226
3.362,3.4,3.312,3.4,3.329,0.071,2.13,1225,415515.0,-0.0670000000000001,0.0849999999999999,-0.0150000000000001,3.4042000000000003,3.4305,3.3838,3.394741525944055,3.4012755321233725,3.391840655746691,0.088,0.0980714285714286,0.0709999999999997,0.0,0.0342406663831704,0.0194195704330144,1.7632041090342194,63.81012909142225,3.404166666666667,,3.400011288735527,,,,,-0.1103848946986202
3.423,3.423,3.317,3.338,3.4,-0.062,-1.82,389,131866.0,-0.157,-0.0509999999999997,-0.0669999999999997,3.3728,3.4254000000000007,3.38045,3.375827683962704,3.389770889919123,3.386712974247006,0.1059999999999998,0.0995,0.0,0.0619999999999998,0.0317949044986583,0.0224610296877991,1.4155586338025006,58.60170868939622,3.413166666666667,,3.390471090468523,,,,,-0.6824489795918367
